1191,P1191,248,1384,32
351,P351,1392,1651,32
625,P625,808,1905,32
1457,P1457,112,1305,32
1411,P1411,132,1521,32
362,P362,1428,1590,32
1517,P1517,88,1958,32
1195,P1195,248,1554,32
1451,P1451,116,1774,32
1716,P1716,8,1729,32
1238,P1238,224,1635,32
467,P467,1124,1540,32
801,P801,576,1839,32
1729,P1729,4,1206,32
1420,P1420,132,1448,32
1268,P1268,208,1795,32
1262,P1262,212,1700,32
944,P944,436,1406,32
1641,P1641,40,1330,32
786,P786,596,1623,32
556,P556,936,1008,32
1445,P1445,124,1799,32
1616,P1616,52,1202,32
1392,P1392,148,1125,32
585,P585,884,1039,32
1580,P1580,68,1718,32
336,P336,1532,1632,32
1104,P1104,316,1059,32
415,P415,1212,1451,32
1528,P1528,92,1855,32
1452,P1452,124,1322,32
769,P769,620,1618,32
1185,P1185,264,1334,32
641,P641,796,1878,32
1310,P1310,192,1499,32
850,P850,532,1823,32
632,P632,812,1273,32
1145,P1145,292,1877,32
624,P624,824,1377,32
1481,P1481,116,1593,32
1072,P1072,344,1002,32
612,P612,728,1843,32
527,P527,1000,1914,32
1332,P1332,184,1695,32
1410,P1410,148,1165,32
717,P717,692,1704,32
567,P567,924,1800,32
1638,P1638,52,1324,32
1059,P1059,356,1754,32
445,P445,1192,1853,32
562,P562,936,1005,32
1756,P1756,8,1239,32
525,P525,1008,1724,32
510,P510,1040,1148,32
548,P548,964,1690,32
546,P546,968,1288,32
873,P873,516,1704,32
397,P397,1332,1942,32
1027,P1027,384,1203,32
1111,P1111,324,1149,32
1632,P1632,60,1585,32
1546,P1546,96,1740,32
867,P867,524,1866,32
950,P950,448,1486,32
347,P347,1504,1605,32
1080,P1080,348,1151,32
1162,P1162,292,1881,32
655,P655,788,1073,32
736,P736,676,1166,32
266,P266,1860,1980,32
1652,P1652,56,1882,32
1746,P1746,20,1215,32
763,P763,644,1105,32
1749,P1749,20,1932,32
1005,P1005,408,1198,32
1533,P1533,108,1625,32
752,P752,660,1215,32
715,P715,708,1858,32
917,P917,484,1565,32
490,P490,1096,1838,32
1112,P1112,332,1046,32
1695,P1695,44,1301,32
1768,P1768,16,1654,32
1317,P1317,208,1064,32
1349,P1349,192,1355,32
337,P337,1552,1736,32
1139,P1139,316,1270,32
1572,P1572,96,1927,32
1088,P1088,352,1280,32
1490,P1490,132,1771,32
588,P588,752,1782,32
1473,P1473,140,1257,32
633,P633,832,1884,32
1645,P1645,68,1516,32
937,P937,472,1360,32
1607,P1607,84,1179,32
493,P493,1096,1465,32
1657,P1657,64,1659,32
1771,P1771,20,1304,32
1412,P1412,168,1210,32
500,P500,1080,1443,32
504,P504,1072,1799,32
640,P640,824,1724,32
1510,P1510,128,1420,32
1372,P1372,188,1419,32
1747,P1747,32,1606,32
1041,P1041,392,1203,32
1015,P1015,412,1424,32
1447,P1447,156,1894,32
1342,P1342,204,1441,32
1395,P1395,180,1708,32
1554,P1554,112,1272,32
539,P539,1004,1252,32
1693,P1693,56,1745,32
1642,P1642,76,1533,32
630,P630,844,1207,32
1408,P1408,176,1259,32
872,P872,540,1061,32
1232,P1232,268,1593,32
393,P393,1368,1951,32
1782,P1782,24,1913,32
703,P703,740,1775,32
706,P706,736,1761,32
1752,P1752,36,1804,32
1702,P1702,56,1541,32
704,P704,740,1126,32
1203,P1203,288,1161,32
702,P702,744,1358,32
1577,P1577,108,1389,32
1808,P1808,16,1337,32
1675,P1675,68,1672,32
1636,P1636,84,1232,32
534,P534,1020,1958,32
611,P611,880,1601,32
1507,P1507,140,1150,32
1660,P1660,76,1741,32
1651,P1651,80,1764,32
1692,P1692,64,1188,32
573,P573,948,1365,32
580,P580,936,1514,32
607,P607,888,1958,32
705,P705,744,1132,32
732,P732,708,1221,32
644,P644,832,1812,32
382,P382,1412,1895,32
1001,P1001,436,1805,32
1562,P1562,120,1115,32
858,P858,564,1047,32
1743,P1743,48,1842,32
817,P817,608,1361,32
395,P395,1372,1915,32
685,P685,776,1653,32
1435,P1435,176,1847,32
1841,P1841,12,1010,32
1531,P1531,136,1000,32
620,P620,708,1305,32
572,P572,956,1587,32
1087,P1087,376,1894,32
1164,P1164,324,1878,32
1612,P1612,104,1358,32
508,P508,1084,1959,32
1029,P1029,420,1134,32
